Policy_ID,Customer_ID,Agent_ID,Product,Branch,Policy_Start_Date,Policy_End_Date,Premium,Sum_Insured,Policy_Status
POL000172,CUST01500,AG075,Travel,North,2025-03-08,2026-03-08,18539,1279191,Lapsed
POL000173,CUST02050,AG114,Home,South,2026-01-30,2027-01-30,45050,2657950,Lapsed
POL000174,CUST00914,AG038,Commercial Property,South,2023-11-15,2024-11-14,243938,9269644,Renewed
POL000175,CUST00635,AG051,Travel,North,2025-05-06,2026-05-06,19281,674835,Renewed
POL000176,CUST02968,AG030,Travel,North,2024-12-26,2025-12-26,11141,958126,Lapsed
POL000177,CUST02693,AG115,Home,East,2026-03-29,2027-03-29,50610,4605510,Active
POL000178,CUST02848,AG073,Marine,North,2024-04-24,2025-04-24,193954,19007492,Renewed
POL000179,CUST02772,AG019,Marine,North,2023-10-01,2024-09-30,174799,13109925,Cancelled
POL000180,CUST00888,AG002,Motor,West,2026-06-10,2027-06-10,29792,2711072,Renewed
POL000181,CUST02341,AG044,Travel,North,2023-08-10,2024-08-09,18318,641130,Cancelled
POL000182,CUST01273,AG109,Home,East,2025-01-26,2026-01-26,43485,3696225,Cancelled
POL000183,CUST02735,AG110,Motor,North,2026-02-07,2027-02-07,15763,1339855,Renewed
POL000184,CUST01586,AG065,Commercial Property,West,2023-11-06,2024-11-05,924208,41589360,Active
POL000185,CUST01537,AG068,Motor,South,2026-05-31,2027-05-31,26944,727488,Lapsed
POL000186,CUST01317,AG007,Marine,North,2023-10-10,2024-10-09,178999,13961922,Renewed
POL000187,CUST02990,AG048,Home,South,2024-02-25,2025-02-24,50078,2403744,Cancelled
POL000188,CUST00665,AG008,Marine,North,2025-04-05,2026-04-05,136049,10475773,Expired
POL000189,CUST02276,AG103,Travel,West,2025-07-29,2026-07-29,12290,380990,Renewed
POL000190,CUST01080,AG003,Travel,West,2025-10-07,2026-10-07,3188,223160,Lapsed
POL000191,CUST00951,AG012,Commercial Property,East,2026-08-04,2027-08-04,525913,18932868,Cancelled
POL000192,CUST02232,AG119,Marine,South,2024-03-24,2025-03-24,125201,3756030,Renewed
POL000193,CUST00670,AG001,Motor,South,2024-10-02,2025-10-02,15765,1072020,Active
POL000194,CUST01916,AG064,Home,West,2023-12-28,2024-12-27,62078,5524942,Lapsed
POL000195,CUST02736,AG070,Marine,West,2024-08-20,2025-08-20,77213,4401141,Cancelled
POL000196,CUST00577,AG111,Marine,North,2025-02-26,2026-02-26,171730,12021100,Cancelled
POL000197,CUST00969,AG058,Commercial Property,North,2026-03-08,2027-03-08,105469,4851574,Cancelled
POL000198,CUST01898,AG095,Motor,West,2025-10-04,2026-10-04,35828,2973724,Lapsed
POL000199,CUST02014,AG115,Home,South,2025-06-05,2026-06-05,8918,847210,Lapsed
POL000200,CUST02346,AG070,Home,North,2024-05-23,2025-05-23,25111,1581993,Renewed
POL000201,CUST02210,AG032,Commercial Property,West,2025-08-27,2026-08-27,967224,32885616,Lapsed
POL000202,CUST01842,AG095,Home,East,2024-11-16,2025-11-16,9910,218020,Renewed
POL000203,CUST02868,AG008,Commercial Property,West,2024-02-07,2025-02-06,551556,39160476,Renewed
POL000204,CUST00010,AG049,Home,West,2024-06-05,2025-06-05,59110,5260790,Expired
POL000205,CUST02761,AG021,Motor,South,2026-03-13,2027-03-13,16825,521575,Renewed
POL000206,CUST01086,AG052,Marine,North,2024-09-28,2025-09-28,137252,12627184,Expired
POL000207,CUST01630,AG059,Motor,South,2025-06-16,2026-06-16,9767,937632,Active
POL000208,CUST02240,AG112,Commercial Property,East,2024-08-15,2025-08-15,352833,7762326,Expired
POL000209,CUST02222,AG056,Home,North,2024-09-20,2025-09-20,60322,5790912,Cancelled
POL000210,CUST02498,AG066,Commercial Property,East,2025-08-14,2026-08-14,937237,84351330,Active
POL000211,CUST01876,AG104,Motor,East,2026-08-03,2027-08-03,27726,665424,Renewed
POL000212,CUST01600,AG062,Motor,East,2026-01-01,2027-01-01,16733,752985,Lapsed
POL000213,CUST00261,AG093,Home,North,2025-04-08,2026-04-08,26015,2601500,Renewed
POL000214,CUST02072,AG064,Travel,West,2026-02-10,2027-02-10,19828,773292,Expired
POL000215,CUST02792,AG068,Marine,South,2025-10-30,2026-10-30,30008,600160,Renewed
POL000216,CUST01477,AG097,Home,South,2026-07-06,2027-07-06,11399,786531,Renewed
POL000217,CUST00512,AG022,Commercial Property,East,2025-04-03,2026-04-03,755703,41563665,Lapsed
POL000218,CUST01611,AG059,Home,East,2023-12-26,2024-12-25,25584,2430480,Renewed
POL000219,CUST02615,AG032,Home,South,2025-10-23,2026-10-23,62163,2300031,Lapsed
POL000220,CUST02346,AG120,Commercial Property,East,2025-10-02,2026-10-02,622713,20549529,Cancelled
POL000221,CUST02184,AG098,Travel,South,2025-03-27,2026-03-27,11743,739809,Renewed
POL000222,CUST02414,AG029,Home,East,2023-10-18,2024-10-17,18989,911472,Cancelled
POL000223,CUST02911,AG051,Commercial Property,East,2025-11-14,2026-11-14,637132,42687844,Cancelled
POL000224,CUST00065,AG079,Motor,West,2026-05-06,2027-05-06,39008,2379488,Renewed
POL000225,CUST02553,AG016,Marine,East,2025-01-11,2026-01-11,70897,6026245,Lapsed
POL000226,CUST00816,AG067,Motor,North,2023-10-22,2024-10-21,36537,2265294,Lapsed
POL000227,CUST01260,AG012,Home,East,2023-09-26,2024-09-25,13636,831796,Cancelled
POL000228,CUST00888,AG094,Travel,North,2025-05-14,2026-05-14,7628,320376,Cancelled
POL000229,CUST01746,AG058,Commercial Property,South,2026-05-21,2027-05-21,299717,17983020,Active
POL000230,CUST00357,AG005,Motor,East,2024-07-19,2025-07-19,14809,962585,Expired
POL000231,CUST02300,AG008,Travel,West,2025-06-23,2026-06-23,18161,1761617,Expired
POL000232,CUST02107,AG068,Travel,North,2025-01-27,2026-01-27,8700,791700,Cancelled
POL000233,CUST01754,AG054,Travel,South,2025-11-12,2026-11-12,19265,520155,Cancelled
POL000234,CUST00687,AG018,Commercial Property,West,2025-09-21,2026-09-21,363157,30142031,Cancelled
POL000235,CUST02410,AG055,Commercial Property,East,2024-05-09,2025-05-09,818488,54020208,Cancelled
POL000236,CUST00487,AG011,Commercial Property,East,2025-01-03,2026-01-03,694226,51372724,Cancelled
POL000237,CUST01257,AG048,Motor,South,2025-05-14,2026-05-14,5410,265090,Lapsed
POL000238,CUST01336,AG112,Home,North,2026-02-27,2027-02-27,16593,995580,Active
POL000239,CUST00836,AG082,Home,North,2025-06-08,2026-06-08,30277,2240498,Lapsed
POL000240,CUST02527,AG050,Home,North,2024-01-05,2025-01-04,27874,1923306,Lapsed
POL000241,CUST02611,AG101,Commercial Property,West,2023-10-02,2024-10-01,520815,39581940,Cancelled
POL000242,CUST02883,AG022,Travel,South,2025-08-09,2026-08-09,17885,1198295,Cancelled
POL000243,CUST00434,AG095,Home,North,2025-02-15,2026-02-15,22315,825655,Expired
POL000244,CUST01249,AG080,Motor,South,2023-10-20,2024-10-19,18119,561689,Active
POL000245,CUST02006,AG021,Travel,North,2025-03-29,2026-03-29,14610,672060,Lapsed
POL000246,CUST02125,AG091,Travel,East,2024-07-31,2025-07-31,16455,510105,Renewed
POL000247,CUST01488,AG072,Home,South,2026-01-08,2027-01-08,39462,3946200,Cancelled
POL000248,CUST00584,AG080,Travel,South,2024-12-02,2025-12-02,2071,64201,Lapsed
POL000249,CUST02251,AG112,Travel,West,2023-10-12,2024-10-11,13861,596023,Renewed
POL000250,CUST01815,AG101,Motor,West,2025-12-23,2026-12-23,16504,775688,Lapsed
POL000251,CUST02362,AG073,Commercial Property,South,2024-01-28,2025-01-27,212730,20847540,Expired
POL000252,CUST02397,AG010,Travel,South,2025-07-24,2026-07-24,11713,679354,Expired
POL000253,CUST01490,AG090,Commercial Property,South,2024-02-19,2025-02-18,735055,37487805,Lapsed
POL000254,CUST00501,AG063,Commercial Property,South,2023-11-16,2024-11-15,488174,38565746,Renewed
POL000255,CUST01363,AG034,Home,South,2025-08-26,2026-08-26,26995,1403740,Lapsed
POL000256,CUST00766,AG074,Travel,North,2025-10-08,2026-10-08,15378,645876,Renewed
POL000257,CUST02159,AG117,Motor,South,2026-01-12,2027-01-12,8633,716539,Active
POL000258,CUST00996,AG017,Home,West,2024-04-15,2025-04-15,17062,665418,Active
POL000259,CUST00710,AG005,Motor,South,2024-07-16,2025-07-16,28875,721875,Cancelled
POL000260,CUST02331,AG057,Commercial Property,West,2025-07-04,2026-07-04,955574,61156736,Expired
POL000261,CUST00250,AG103,Marine,East,2024-11-05,2025-11-05,187097,4677425,Expired
POL000262,CUST02346,AG110,Motor,East,2025-12-05,2026-12-05,24798,2306214,Cancelled
POL000263,CUST02982,AG074,Motor,West,2024-10-13,2025-10-13,9352,289912,Active
POL000264,CUST00815,AG062,Home,South,2026-03-20,2027-03-20,51516,2833380,Lapsed
POL000265,CUST01926,AG011,Home,North,2024-02-06,2025-02-05,67746,3116316,Lapsed
POL000266,CUST00619,AG094,Travel,North,2024-01-31,2025-01-30,2586,100854,Active
POL000267,CUST02705,AG018,Home,South,2025-05-30,2026-05-30,64802,1684852,Active
POL000268,CUST00531,AG117,Commercial Property,North,2024-03-23,2025-03-23,159581,6861983,Active
POL000269,CUST01793,AG120,Motor,North,2025-04-10,2026-04-10,34261,1747311,Expired
POL000270,CUST01558,AG044,Commercial Property,South,2024-04-01,2025-04-01,502406,23110676,Lapsed
POL000271,CUST02134,AG014,Motor,South,2024-10-04,2025-10-04,34841,1358799,Cancelled
POL000272,CUST01618,AG081,Home,North,2024-03-22,2025-03-22,26641,2317767,Expired
POL000273,CUST00528,AG003,Marine,North,2024-08-23,2025-08-23,59355,5638725,Expired
POL000274,CUST00880,AG092,Marine,East,2025-05-27,2026-05-27,37306,3432152,Lapsed
POL000275,CUST01859,AG016,Marine,South,2024-08-08,2025-08-08,24479,930202,Cancelled
POL000276,CUST01587,AG040,Home,West,2025-04-22,2026-04-22,44024,1584864,Expired
POL000277,CUST01974,AG120,Motor,East,2024-01-13,2025-01-12,9911,257686,Renewed
POL000278,CUST01139,AG008,Motor,East,2026-04-25,2027-04-25,15613,640133,Lapsed
POL000279,CUST02420,AG003,Commercial Property,North,2024-11-06,2025-11-06,496901,35776872,Expired
POL000280,CUST01309,AG034,Home,South,2025-03-01,2026-03-01,42802,1712080,Active
POL000281,CUST02524,AG047,Home,East,2024-07-15,2025-07-15,24364,1729844,Renewed
POL000282,CUST01814,AG076,Commercial Property,West,2025-08-02,2026-08-02,438904,28089856,Cancelled
POL000283,CUST00436,AG018,Marine,West,2025-12-08,2026-12-08,84512,4394624,Renewed
POL000284,CUST00486,AG103,Travel,North,2023-10-30,2024-10-29,2946,250410,Active
POL000285,CUST00412,AG058,Motor,South,2026-04-22,2027-04-22,6746,478966,Cancelled
POL000286,CUST00054,AG067,Motor,West,2025-03-10,2026-03-10,15608,499456,Cancelled
POL000287,CUST02885,AG008,Travel,North,2026-01-11,2027-01-11,4544,358976,Active
POL000288,CUST01893,AG092,Home,North,2024-11-22,2025-11-22,37685,1846565,Cancelled
POL000289,CUST01230,AG026,Motor,North,2024-09-03,2025-09-03,23856,1693776,Expired
POL000290,CUST01430,AG069,Motor,South,2024-06-26,2025-06-26,6624,576288,Cancelled
POL000291,CUST00838,AG016,Travel,West,2024-09-04,2025-09-04,17258,1570478,Active
POL000292,CUST01801,AG119,Marine,South,2025-02-11,2026-02-11,125533,6527716,Renewed
POL000293,CUST00986,AG107,Travel,West,2025-02-14,2026-02-14,3099,114663,Renewed
POL000294,CUST00411,AG040,Motor,North,2025-04-21,2026-04-21,8773,543926,Lapsed
POL000295,CUST01915,AG016,Motor,North,2026-03-28,2027-03-28,12633,656916,Active
